Strategy,Threshold,Accuracy_NIH,Accuracy_GZ,Accuracy_drop,BalancedAccuracy_NIH,BalancedAccuracy_GZ,BalancedAccuracy_drop,AUROC_NIH,AUROC_GZ,AUROC_drop,Precision_NIH,Precision_GZ,Precision_drop,Recall_NIH,Recall_GZ,Recall_drop,Specificity_NIH,Specificity_GZ,Specificity_drop,F1_NIH,F1_GZ,F1_drop,TN_NIH,TN_GZ,FP_NIH,FP_GZ,FN_NIH,FN_GZ,TP_NIH,TP_GZ
S1_Frozen,0.5,0.9347,0.375,0.5597,0.5,0.5,0.0,0.6428,0.7766,-0.1339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3050,234,0,0,213,390,0,0
S2_Partial,0.5,0.9347,0.375,0.5597,0.5,0.5,0.0,0.6511,0.7421,-0.091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3050,234,0,0,213,390,0,0
S3_FullFT_CW_Aug,0.5,0.8465,0.3734,0.4731,0.5401,0.4944,0.0457,0.5755,0.5305,0.045,0.1087,0.4444,-0.3357,0.1878,0.0103,0.1775,0.8925,0.9786,-0.0862,0.1377,0.0201,0.1176,2722,229,328,5,173,386,40,4
