Strategy,Accuracy_NIH,Accuracy_GZ,Accuracy_drop,BalancedAccuracy_NIH,BalancedAccuracy_GZ,BalancedAccuracy_drop,AUROC_NIH,AUROC_GZ,AUROC_drop,Precision_NIH,Precision_GZ,Precision_drop,Recall_NIH,Recall_GZ,Recall_drop,Specificity_NIH,Specificity_GZ,Specificity_drop,F1_NIH,F1_GZ,F1_drop,TN_NIH,TN_GZ,FP_NIH,FP_GZ,FN_NIH,FN_GZ,TP_NIH,TP_GZ
S1_Frozen,0.9347226478700582,0.375,0.5597226478700582,0.5,0.5,0.0,0.6427661048256753,0.7766272189349113,-0.13386111410923596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3050,234,0,0,213,390,0,0
S2_Partial,0.9347226478700582,0.375,0.5597226478700582,0.5,0.5,0.0,0.6510952051104442,0.7420666228358536,-0.0909714177254094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3050,234,0,0,213,390,0,0
S3_FullFT_CW_Aug,0.8464603125957708,0.3733974358974359,0.4730628766983349,0.5401262218117447,0.4944444444444444,0.045681777367300336,0.5754744862618333,0.5304952881875958,0.04497919807423745,0.10869565217391304,0.4444444444444444,-0.3357487922705314,0.18779342723004694,0.010256410256410256,0.1775370169736367,0.8924590163934426,0.9786324786324786,-0.08617346223903599,0.13769363166953527,0.020050125313283207,0.11764350635625206,2722,229,328,5,173,386,40,4
